"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"
"1",29.17,37.86,10.83,24.42,19.4,12.61,31.35,18.07,11.41,9.88,22.02,10.95,28.89,13.3,27.5,9.21
"2",16,16.55,47.5,25.21,14.09,19.77,22.78,13.03,14.59,14.42,9.8,13.21,0,18.61,11.93,24.85
"3",12.35,17.65,22.26,12.5,15.05,16.94,8.5,16,24.58,8.85,22.5,29.64,22.21,0,19.72,19.44
"4",9.61,9.74,10.12,0,8.12,8.7,8.49,8.33,8.41,9.32,0,14.41,9.92,9.55,10.51,11.36
"5",0,0,8.7,40.5,11.52,0,9.5,8.07,8.29,0,0,8.77,13.55,0,9.38,10.39
"6",21.18,9.54,9.36,13.99,14.3,14.77,16.21,12.56,14.17,8.94,9.17,15.14,16.41,8.28,8.55,8.51
"7",15.6,10.21,14.79,12.83,14.69,12.09,15.42,13.92,0,42.5,0,19.75,0,14.44,13.32,14.22
"8",9.26,10.37,11.54,10,7.88,9.5,11.41,11.36,10.29,10.15,9.01,10.19,10.71,13.34,10.79,13.25
"9",10.62,10.68,12.78,25.62,13.45,33.33,14.52,16.71,8.43,9.56,15.28,10.09,37.5,8.82,9.23,8.85
"10",8.57,11.22,14.46,14.06,77.5,28.06,17.5,10.52,50,13.75,7.67,15.67,10.98,11.02,16.02,11.2
"11",13.24,16.46,23.45,15.89,20.42,20.7,16.15,19.81,42.5,34.17,21.18,24.81,31.5,15.97,53.75,16.55
"12",9.78,7.55,7.63,7.93,8.23,9.05,10.98,10.93,11.13,8.77,10.39,10.39,10.12,14.24,9.74,10.3
"13",0,0,0,11.46,10.06,13.49,0,11.67,16.54,8.35,26.5,15.78,17.93,11.25,9.53,9.91
"14",8.34,9.72,10,10.29,11.9,9.77,10.77,17.66,10.42,11.5,8.88,9.52,10.25,7.83,8.49,8.78
"15",0,32.5,51.5,43.33,41.5,42.5,46.67,38.75,35,56.79,38.75,45.28,37.5,42.5,52.5,52.5
"16",8.99,8.78,18.55,11.46,10.41,12.25,8.96,9.35,13.66,11.48,20.71,11.48,8.11,10.91,16.59,14
"17",11.6,9.4,9.62,14.5,11.93,12.97,10.11,9.75,8.26,8.85,9.31,9.86,8.92,8.47,0,8.73
"18",8.33,8.57,10.74,7.9,9.32,25.5,9.96,0,11.07,8.94,9.86,9.52,8.27,9.46,20,82.5
"19",10.91,8.44,10.57,10.21,10.11,9.55,9.86,10.64,11.28,12.85,14.64,14.71,10.13,10,9.17,9.83
"20",0,12.88,7.76,8.94,10.04,9.88,8.31,9.11,40,17.76,8.62,10.36,29.17,8.9,8.54,8.17
"21",15.12,18.33,20.98,33.12,19.27,27.02,0,28.17,24.64,19.25,17.72,18.96,15.88,18.31,19.72,31.59
"22",0,8.46,9.08,12.12,8.6,14.66,9.34,13.55,9.09,11.58,13.29,7.68,12.37,0,12.93,18.27
"23",15.26,11.43,13.43,8.29,11.88,16.25,8.36,9.94,11.75,14.42,10.68,9.72,14.24,9.85,11.59,9.77
"24",0,0,0,0,0,9.74,0,8.64,14.55,13.21,0,0,9.83,9.71,12.72,10.36
"25",14.55,14.8,15.83,20.56,14.54,9.1,18.79,11.1,9.24,10.97,8.96,14.29,8.86,11.72,9.68,10.13
"26",21.61,19.1,0,55.36,13.72,24.32,16.06,18.57,0,15.73,12.67,14.81,13.19,13.89,14.79,16.91
"27",9.38,13.09,10.78,11.28,9.29,0,9.79,14.1,24.23,22.05,9.77,46.25,19.36,15,12.66,13.37
"28",14.24,14.12,9.81,16.25,12.17,14.17,14.1,14.02,16.41,11.28,14.64,17.66,14.09,20.54,11.53,18.18
"29",0,9.56,21.59,11.69,44.17,11.41,10.92,60,0,7.72,45.5,10.13,20.83,7.89,10.15,11.34
"30",17.22,8.96,20.5,10.74,10.39,10.67,62.5,37.5,27,25,42.5,8.67,15.11,0,10.23,15.95
"31",11.84,8.9,10.91,12.61,12.5,7.67,7.61,13.21,14.32,12.25,9.73,8.93,8.3,9.11,7.61,7.9
"32",16.39,20.83,19.83,10.49,11.99,9.52,11.35,9.68,13.98,7.5,12.5,18.75,13.75,15.26,10.97,9.71
"33",15.31,24.44,15.71,23.33,12.26,10.05,20.83,9.72,15,22.69,25.66,30.44,14.62,22.5,13.03,10.7
"34",19.58,22.92,16.73,23.5,23.83,18.36,21.7,15.37,16.7,9.72,15.46,11.88,12.23,12.83,19.08,17.17
"35",7.5,7.89,14.72,52.5,45.28,18.93,36.94,10,14.42,14.81,23.5,16.5,31.59,30.23,30.83,16.5
"36",17.21,23.89,18.19,16.75,29.72,20.94,16.36,24.34,27.5,29.17,16.25,24.34,24.17,18.21,29.32,0
"37",23.12,9.13,22.5,20,13.98,16.14,18.5,42.5,27.5,21,20.83,15.87,15.11,19.72,22.5,20.5
"38",9.72,19.85,59.17,18.15,31.25,12.02,11.64,15.54,0,18.93,52.5,65.83,14.79,9.4,18.27,28.33
"39",29.58,42.5,0,0,7.5,7.5,0,0,0,0,0,0,0,0,0,0
"40",13.09,18.75,9.55,21.79,7.92,14.17,12.5,17.68,10.18,10.32,9.47,14.43,8.5,13.17,28,11.39
"41",11.16,16.2,8.93,11.36,9.44,14.33,23.61,12.14,17.19,15.26,23.97,23,27.5,27.95,15.46,10.33
"42",0,27.5,19.42,16,15.76,12.5,29.17,19.09,25,25,8.65,12.5,23.75,12,25,39.17
"43",72.5,0,20,0,0,13.5,24.17,28.75,34.17,0,0,26.94,12.5,45,20,31
"44",0,0,0,0,0,0,0,27.5,0,21.5,8.5,17.5,28.61,8.12,19.17,26.39
"45",7.67,8.15,9.7,10.56,9.64,10.33,0,17.5,18.21,37.5,15.5,30.5,8.38,42.5,12.98,21.39
"46",22.5,0,11.25,18.8,16.76,0,11.99,0,12.5,16.85,10,11.01,13.15,12.5,14.78,0
"47",19.04,9.17,25.98,12.74,9.62,35,8.24,7.82,34.04,10.28,11.76,22.5,42.5,0,0,62.5
"48",22.35,15.39,11.88,8.35,11.48,11.85,0,11.88,15.5,0,10.5,11.75,12.63,7.59,10.83,9.41
"49",15.83,17.66,22.5,9.9,7.82,12.84,11,14.32,14.32,8.42,8.07,9.31,9.86,9.22,7.69,15.92
"50",14.34,8.9,10.31,9.4,0,0,0,10.97,59.17,51.25,28.06,22.5,18.65,29.72,12.63,24.72
"51",19.1,12.21,12.76,15.16,13.62,13.71,17.22,14.35,13.1,20.16,17,17.24,10.98,16.57,18.31,12.98
"52",13.17,16.05,18.18,10.12,12.33,18.46,14.84,10.83,11.58,33,15.83,26.91,17.66,13.19,18.19,19.64
"53",37.5,7.5,12.61,14.92,18.45,11.94,10.63,10.24,0,18.93,22.12,14.57,30.62,13.75,10.95,14.64
"54",35,7.5,13.02,12.62,42.5,19.77,16.5,0,19.5,28.21,45.83,26.67,19.4,21.79,16,42.5
"55",8.24,9.8,9.01,7.87,7.64,8.71,9.21,8.86,8.35,7.58,9.19,8.43,9.44,10.91,8.17,9.89
"56",10.29,11.77,10.85,15.78,21.59,13.83,11.01,19.58,21.11,13.33,22.67,9.24,17.78,16.88,17.7,12.33
"57",11.85,9.13,9.97,13.38,11.82,13.46,0,10.87,10.89,9.77,0,14.02,12.64,9.81,19.74,14.61
"58",11.58,11.41,25.28,7.83,18.65,28.33,11.61,36.07,38.75,30.83,35.83,43.21,16.04,12.65,10.95,0
"59",0,0,13.5,10.5,13.5,15.31,14.04,0,7.78,10.18,18.06,16.76,12.11,10.04,10.05,0
"60",14.66,0,11.36,9.32,11,11.11,8.89,10.59,8.94,10.1,20.83,13.63,10.3,9.5,8.38,9.92
"61",11.05,7.5,7.71,7.5,9.24,8.14,8.09,9.23,15.71,33.5,7.5,10.37,10.5,7.5,7.5,9.04
"62",33.12,0,28.75,23.21,26.67,0,21.94,25.83,17.5,0,0,0,7.5,16.05,37.5,14.3
"63",18.79,17.28,10.02,10.26,10.3,10.45,8.72,9.17,11.88,19.04,18.33,11.86,26.39,0,11.09,22.34
"64",0,8.06,0,16.43,26.25,0,22.5,29.77,35,12.5,0,28.5,33.17,27,26.88,87.5
"65",14.36,15.6,23.24,18.5,11.65,18.41,18.43,18.02,20.89,13.95,12.74,22.05,18.09,16.01,16.33,25.94
"66",14.5,14.83,24.64,23.06,11.95,13.52,11.67,23.75,23.21,0,45,11.65,7.5,7.5,11.18,10.73
"67",20.62,12.73,20.39,9.67,18.04,30.36,10.19,13.19,12.13,23.24,11.67,17.5,11.25,32.5,8.5,28.12
"68",9.64,15.95,15.5,14.4,21.94,13.7,13.35,9.5,23.17,24.38,30,11.59,26.67,17.83,13.33,12.94
"69",15.36,12.07,15.94,9.44,10.79,20,36.39,13.57,13.96,14.55,9.46,15.11,16.56,11.18,11.07,0
"70",9.3,11.32,18.33,11.91,7.5,10.83,9.25,16.73,50.5,49.17,57.5,11.54,16,32.5,7.5,28.27
"71",7.87,11.16,12.13,10.55,10.17,9.78,10.68,12.98,9.64,12.18,10.02,9.93,11.32,9.32,9.33,8.97
"72",42.5,30,33.75,10.24,24.17,16.15,26.5,45,42.5,36.25,32.5,30.42,39.17,17.5,21.88,50
"73",44.5,35.83,40.83,14,12.24,45.83,31.79,28.61,0,7.5,24.17,33.75,31.67,30.83,29.5,29.64
"74",9.44,42.5,23.89,21.56,23.27,30.62,25.5,32.5,42.5,27.5,0,0,16.94,11.58,0,0
"75",8.28,12.31,8.52,8.26,7.71,14.02,9.51,11.52,10.41,22.78,9.73,7.5,12.84,9.45,10.94,10.03
"76",0,0,7.5,7.79,0,0,7.5,7.5,57.5,23.5,42.5,48.75,0,44.17,27.5,0
"77",0,7.78,28.93,43.33,21.39,20.83,10.26,27.12,10.26,8.33,27.14,9.17,15.33,9.23,8.08,0
"78",20.18,7.98,8.53,8.5,11.3,24.64,23.45,26.79,35.83,29.42,23.12,7.5,13.44,11.5,28.06,24.5
"79",25.54,0,0,15.22,8.7,12.76,13.25,14.81,8.08,15.68,19.09,10.19,11.92,14.52,8.2,27.1
"80",13.31,15.32,12.92,13.35,10.91,19.31,13.22,12.55,10.83,11.51,0,12.5,13.39,7.56,12.67,23.68
"81",13.8,15.92,11.88,10.95,14.81,13.41,12.36,31.67,34.17,16.31,47.5,13.61,21.5,15.36,13.9,14.17
"82",36.25,27.5,43.5,31.67,32,27.5,0,39.17,47.5,23.86,55.83,45.36,27.14,36.88,35.83,34.17
"83",10.15,40,8.97,0,12.05,10.5,9.5,0,0,0,0,26.59,25.15,0,36.5,0
"84",20.25,23.5,15.91,19.62,16.61,18.15,17.26,30,8.12,25.83,25.38,31.67,0,8.87,10.2,45.83
"85",32.5,12.92,33.33,31.94,42.5,27.88,35.62,52.5,34.17,13.12,16.1,16.21,21.5,35.68,0,8.51
"86",12.68,22.29,27.5,29.38,9.4,18.93,38.21,9.04,7.5,44.5,24.5,34,36.79,36.5,49.17,20.44
"87",48.75,38.75,52.5,45.83,34.5,12.75,10.8,37.5,18.93,32.5,40,41.59,40.83,19.02,45,77.5
"88",9.03,11.54,9.34,15.15,10.04,11.72,10.18,11.77,15,11.85,13.28,15.39,8.78,35.36,27.5,11.18
"89",12.07,9.83,12.5,17.02,13.4,39.72,23.55,17.83,11.33,13.7,12.98,8.69,9.1,18.55,17.16,9.35
"90",12.61,0,16.5,16.3,11.64,12.02,18.5,14.48,17.5,16.79,12.19,21.67,11.47,21.62,12.78,13.96
"91",13.31,10.28,23.83,32.5,22.68,13.55,7.55,11.5,22.92,10.11,9.91,7.86,12.12,37.5,0,13.44
"92",11.94,9.65,11.35,11.12,15.23,10.57,9.7,9.2,10.8,11.12,10.6,9.32,11.92,8.86,9.55,18.75
"93",11.81,14.72,15,11.65,15.83,15.67,9.45,17.22,14.17,16.35,14.44,20.23,10.14,10.06,9.79,13.7
"94",10.95,11.72,20,8.57,11.79,10.38,8.88,13.26,12,19.17,13.97,8.75,9.36,12.78,11.94,23.75
"95",9.66,10.05,15.58,14.5,8.72,9.65,9.24,8.92,9.89,10.92,8.61,12.18,11,14.94,10.29,15.62
"96",20.83,13.95,13.4,9.42,10.59,12.85,16.22,15.67,12.25,19.33,12.06,12.19,9.98,11.6,13.38,10.04
"97",9.72,0,24.77,27.5,0,10.17,16.57,15.46,14.17,9.21,9.82,10.75,12.28,11.67,8.53,8.21
"98",8.75,7.5,7.65,19.17,13.9,14.44,9.87,0,19.42,13.47,0,0,16.25,8.24,17.5,23.5
"99",10.66,8.68,12.59,11.3,9.45,9.32,9.76,10.73,14.21,0,9.87,10.56,0,0,9.87,8.95
"100",9.88,13.75,10.68,15.31,33.06,27.5,17.5,16.29,14.81,18,11.54,23.5,35,22.5,26.25,13.41
"101",17.76,9.93,8.97,10.23,10,13.75,10.39,8.82,10.15,11.25,10.69,10.36,11.81,15.3,15.07,13.9
"102",10.79,10.92,12.72,9,10.68,8.95,12.88,11.35,52.5,19.89,11.06,9.47,15.21,9.15,13.28,14.41
"103",7.74,9.52,8.06,8.01,7.5,8.41,9.76,7.5,8.16,14.72,9.57,8.97,8.61,8.15,8.7,9.08
