Species,LeafLength,LeafWidth,WidestPoint,Angle,LeafRatio,WidestPercent,Lobing,Veins,FruitLength,FruitWidth,FruitRatio
Anglica,,,,,,,,,8,9,0.89
Anglica,,,,,,,,,8,8,1.00
Anglica,,,,,,,,,9.5,10,0.95
Anglica,,,,,,,,,8,10,0.80
Anglica,,,,,,,,,9,9,1.00
Anglica,,,,,,,,,9,9,1.00
Anglica,,,,,,,,,9,8,1.13
Anglica,,,,,,,,,10.5,10,1.05
Anglica,,,,,,,,,9.5,10,0.95
Anglica,,,,,,,,,9,10,0.90
Anglica,102,68,53,40,1.50,0.52,0.21,18,,,
Anglica,68,44,35,43,1.55,0.51,0.10,17,,,
Anglica,90,60,38,43,1.50,0.42,0.20,19,,,
Anglica,88,53,45,38,1.66,0.51,0.18,17,,,
Anglica,75,49,42,38,1.53,0.56,0.29,19,,,
Anglica,75,49,43,32,1.53,0.57,,17,,,
Anglica,76,51,38,38,1.49,0.50,,18,,,
Anglica,127,84,60,32,1.51,0.47,,17,,,
Anglica,105,88,58,35,1.19,0.55,,18,,,
Anglica,88,70,47,42,1.26,0.53,,14,,,
Anglica,105,70,62,32,1.50,0.59,,19,,,
Anglica,102,64,58,37,1.59,0.57,,18,,,
Anglica,97,80,57,38,1.21,0.59,,17,,,
Anglica,101,75,58,32,1.35,0.57,,20,,,
Anglica,102,73,57,38,1.40,0.56,,21,,,
Anglica,82,57,47,32,1.44,0.57,,16,,,
Anglica,104,70,56,35,1.49,0.54,,21,,,
Anglica,98,74,56,37,1.32,0.57,,18,,,
Anglica,106,78,60,37,1.36,0.57,,20,,,
Anglica,104,80,50,40,1.30,0.48,,20,,,
Anglica,98,73,50,37,1.34,0.51,,19,,,
Anglica,97,68,30,37,1.43,0.31,,20,,,
Anglica,105,73,58,34,1.44,0.55,,20,,,
Anglica,110,68,50,40,1.62,0.45,,21,,,
Anglica,91,65,48,40,1.40,0.53,,18,,,
Anglica,90,68,45,40,1.32,0.50,0.18,17,,,
Anglica,85,65,43,42,1.31,0.51,0.18,17,,,
Anglica,82,64,45,42,1.28,0.55,0.22,16,,,
Anglica,75,64,32,45,1.17,0.43,0.16,13,,,
Anglica,88,65,45,42,1.35,0.51,0.31,18,,,
Anglica,80,59,43,45,1.36,0.54,0.33,18,,,
Anglica,65,47,32,38,1.38,0.49,0.35,21,,,
Anglica,78,56,42,34,1.39,0.54,0.21,18,,,
Anglica,72,52,32,38,1.38,0.44,0.25,18,,,
Anglica,77,51,44,34,1.51,0.57,0.15,,,,
Anglica,92,65,49,36,1.42,0.53,0.23,,,,
Anglica,83,58,37,38,1.43,0.45,0.21,19,,,
Anglica,93,60,50,38,1.55,0.54,0.23,21,,,
Anglica,108,76,56,41,1.42,0.52,0.30,20,,,
Anglica,96,64,54,39,1.50,0.56,0.26,22,,,
Anglica,62,42,38,37,1.48,0.61,0.24,15,,,
Anglica,62,41,34,36,1.51,0.55,0.27,17,,,
Anglica,78,57,42,33,1.37,0.54,0.42,16,,,
Anglica,74,56,43,34,1.32,0.58,0.25,15,,,
Anglica,80,49,45,33,1.63,0.56,0.29,16,,,
Anglica,77,55,41,29,1.40,0.53,0.33,16,,,
Anglica,62,42,36,32,1.48,0.58,0.27,14,,,
Anglica,86,58,50,30,1.48,0.58,0.38,17,,,
Anglica,76,52,37,38,1.46,0.49,0.21,14,,,
Anglica,82,57,45,35,1.44,0.55,0.25,15,,,
Anglica,75,52,40,40,1.44,0.53,0.19,18,,,
Anglica,74,49,42,38,1.51,0.57,0.27,16,,,
Anglica,92,67,53,40,1.37,0.58,0.30,19,,,
Anglica,73,60,42,38,1.22,0.58,,14,,,
Anglica,81,50,43,34,1.62,0.53,,14,,,
Anglica,,,,,,,,,10.8,10.2,1.059
Anglica,,,,,,,,,10.4,10.4,1.000
Anglica,,,,,,,,,10.6,11,0.964
Anglica,,,,,,,,,10,10.2,0.980
Anglica,,,,,,,,,9.6,9.8,0.980
Anglica,,,,,,,,,11,11.8,0.932
Anglica,,,,,,,,,10.6,10.8,0.981
Anglica,,,,,,,,,10.6,10.4,1.019
Anglica,,,,,,,,,10.6,10.4,1.019
Anglica,,,,,,,,,11,10.4,1.058
Anglica,,,,,,,,,11.6,11.4,1.018
Anglica,,,,,,,,,12,10.8,1.111
Anglica,,,,,,,,,12,12.2,0.984
Anglica,,,,,,,,,12.6,11.6,1.086
Anglica,,,,,,,,,11.2,11.4,0.982
Anglica,,,,,,,,,11.6,11.4,1.018
Anglica,,,,,,,,,12,10.8,1.111
Anglica,,,,,,,,,12,12.2,0.984
Anglica,,,,,,,,,12.6,11.6,1.086
Anglica,,,,,,,,,11.2,11.4,0.982
Anglica,,,,,,,,,10.8,11.6,0.931
Anglica,,,,,,,,,12.2,12.4,0.984
Anglica,,,,,,,,,11.6,12,0.967
Anglica,,,,,,,,,10.2,10.6,0.962
Anglica,,,,,,,,,12.2,11.4,1.070
Anglica,,,,,,,,,11.2,11.2,1.000
Anglica,,,,,,,,,10.4,11,0.945
Anglica,,,,,,,,,10.6,10.8,0.981
Anglica,,,,,,,,,9.6,10.4,0.923
Anglica,,,,,,,,,10.2,11.2,0.911
Anglica,,,,,,,,,10,11,0.909
Anglica,,,,,,,,,10.2,11.2,0.911
Anglica,,,,,,,,,9.8,11,0.891
Anglica,,,,,,,,,10.6,11.8,0.898
Anglica,,,,,,,,,11,12,0.917
Anglica,,,,,,,,,8.9,10,0.890
Anglica,,,,,,,,,10,11,0.909
Anglica,,,,,,,,,10.6,11.4,0.930
Anglica,,,,,,,,,9.8,10.4,0.942
Anglica,,,,,,,,,9.4,11,0.855
Anglica,,,,,,,,,10.4,11,0.945
Anglica,,,,,,,,,9,10.4,0.865
Anglica,,,,,,,,,11.8,11.6,1.017
Anglica,,,,,,,,,10,10.4,0.962
Anglica,,,,,,,,,10.6,10.8,0.981
Anglica,,,,,,,,,11,12.2,0.902
Anglica,,,,,,,,,11.2,13,0.862
Anglica,,,,,,,,,9.8,10.6,0.925
Anglica,,,,,,,,,11.4,12,0.950
Anglica,,,,,,,,,10.4,11,0.945
Anglica,,,,,,,,,11.6,13,0.892
Anglica,,,,,,,,,11.6,13.4,0.866
Anglica,,,,,,,,,10.6,11,0.964
Anglica,,,,,,,,,12.2,13.6,0.897
Anglica,,,,,,,,,11,12,0.917
Anglica,,,,,,,,,11.6,13.2,0.879
Anglica,,,,,,,,,10.4,11,0.945
Anglica,,,,,,,,,10.4,11,0.945
Anglica,,,,,,,,,10.6,11.2,0.946
Anglica,,,,,,,,,10.4,11,0.945
Anglica,,,,,,,,,10.6,12,0.883
Anglica,,,,,,,,,10.2,11,0.927
Anglica,,,,,,,,,11,12,0.917
Anglica,92,60,54,,1.53,0.59,0.24,18,,,
Anglica,81,56,50,,1.45,0.62,0.24,17,,,
Anglica,94,64,53,,1.47,0.56,0.31,18,,,
Anglica,88,55,41,,1.60,0.47,0.32,18,,,
Anglica,,,,,,,,,11,12,0.92
Anglica,,,,,,,,,12,13.5,0.89
Anglica,,,,,,,,,11.5,13.5,0.85
Anglica,,,,,,,,,11,12,0.92
Anglica,,,,,,,,,12,12.5,0.96
Anglica,,,,,,,,,12,12.5,0.96
Anglica,,,,,,,,,12,12.5,0.96
Anglica,,,,,,,,,11.5,13,0.88
Anglica,,,,,,,,,11.5,13.5,0.85
Anglica,,,,,,,,,11.5,13,0.88
Anglica,,,,,,,,,12,12,1.00
Anglica,,,,,,,,,11,12.5,0.88
Anglica,108,90,53,39,1.20,0.49,0.09,21,,,
Anglica,121,81,64,37,1.49,0.53,0.15,20,,,
Anglica,117,86,61,39,1.36,0.52,0.12,19,,,
Anglica,106,85,55,39,1.25,0.52,0.18,19,,,
Anglica,96,55,51,34,1.75,0.53,0.14,24,,,
Anglica,92,64,49,39,1.44,0.53,0.15,20,,,
Anglica,93,72,35,44,1.29,0.38,0.11,19,,,
Anglica,104,65,46,36,1.60,0.44,0.06,20,,,
Anglica,108,80,52,35,1.35,0.48,0.14,21,,,
Anglica,111,71,59,35,1.56,0.53,0.13,21,,,
Anglica,101,70,54,35,1.44,0.53,0.14,20,,,
Anglica,97,70,42,41,1.39,0.43,0.09,20,,,
Anglica,106,74,56,38,1.43,0.53,0.09,22,,,
Anglica,104,60,49,35,1.73,0.47,0.18,22,,,
Anglica,106,59,56,36,1.80,0.53,0.21,20,,,
Anglica,96,65,56,37,1.48,0.58,0.09,20,,,
Anglica,109,83,46,42,1.31,0.42,0.23,18,,,
Anglica,117,82,51,40,1.43,0.44,0.18,21,,,
Anglica,87,66,50,44,1.32,0.57,0.22,21,,,
Anglica,85,63,42,42,1.35,0.49,0.29,20,,,
Anglica,121,85,59,40,1.42,0.49,0.09,19,,,
Anglica,125,88,78,31,1.42,0.62,0.22,20,,,
Anglica,97,54,59,30,1.80,0.61,0.14,20,,,
Anglica,90,61,55,35,1.48,0.61,0.17,17,,,
Anglica,92,64,55,32,1.44,0.60,0.08,24,,,
Anglica,97,65,41,36,1.49,0.42,0.18,20,,,
Anglica,109,89,59,36,1.22,0.54,0.23,23,,,
Anglica,119,89,64,36,1.34,0.54,0.17,23,,,
Anglica,100,69,60,35,1.45,0.60,0.17,22,,,
Anglica,80,58,45,33,1.38,0.56,0.14,20,,,
Anglica,71,50,35,40,1.42,0.49,0.12,19,,,
Anglica,100,72,52,41,1.39,0.52,0.13,20,,,
Anglica,98,62,42,31,1.58,0.43,0.20,23,,,
Anglica,108,68,59,31,1.59,0.55,0.19,23,,,
Anglica,77,48,47,30,1.60,0.61,0.23,18,,,
Anglica,98,62,47,31,1.58,0.48,0.21,21,,,
Anglica,98,73,69,39,1.34,0.70,0.18,21,,,
Anglica,90,63,51,35,1.43,0.57,0.13,18,,,
Anglica,82,57,40,36,1.44,0.49,0.17,19,,,
Anglica,123,77,70,31,1.60,0.57,0.12,23,,,
Anglica,109,78,53,32,1.40,0.49,0.16,23,,,
Anglica,80,55,41,35,1.45,0.51,0.11,18,,,
Anglica,72,54,39,43,1.33,0.54,0.21,18,,,
Anglica,105,59,59,29,1.78,0.56,0.13,22,,,
Anglica,110,74,55,34,1.49,0.50,0.25,20,,,
Anglica,95,74,46,41,1.28,0.48,0.12,21,,,
Anglica,93,60,45,35,1.55,0.48,0.20,18,,,
Anglica,73,49,34,35,1.49,0.47,0.17,18,,,
Anglica,104,70,49,45,1.49,0.47,0.24,18,,,
Anglica,94,81,50,44,1.16,0.53,0.20,21,,,
Anglica,89,53,42,28,1.68,0.47,0.18,22,,,
Anglica,94,50,51,33,1.88,0.54,0.18,23,,,
Anglica,87,61,31,38,1.43,0.36,0.30,20,,,
Anglica,75,47,39,30,1.60,0.52,0.22,16,,,
Anglica,101,70,46,35,1.44,0.46,0.24,20,,,
Anglica,90,55,42,41,1.64,0.47,0.16,19,,,
Anglica,85,60,41,39,1.42,0.48,0.17,20,,,
Anglica,102,64,52,44,1.59,0.51,0.15,19,,,
Anglica,112,57,61,45,1.96,0.54,0.09,21,,,
Anglica,93,74,51,32,1.26,0.55,0.22,19,,,
Anglica,99,70,43,38,1.41,0.43,0.17,17,,,
Anglica,113,86,56,39,1.31,0.50,0.23,22,,,
Anglica,104,59,60,41,1.76,0.58,0.17,23,,,
Anglica,91,68,50,34,1.34,0.55,0.26,20,,,
Anglica,87,62,52,36,1.40,0.60,0.23,20,,,
Anglica,105,75,57,34,1.40,0.54,0.13,24,,,
Anglica,101,70,55,31,1.44,0.54,0.15,22,,,
Anglica,97,71,50,40,1.37,0.52,0.14,18,,,
Anglica,102,69,59,31,1.48,0.58,0.14,20,,,
Anglica,116,77,66,35,1.51,0.57,0.26,21,,,
Anglica,108,75,46,42,1.44,0.43,0.19,20,,,
Anglica,99,63,51,34,1.57,0.52,0.24,25,,,
Anglica,93,67,51,38,1.39,0.55,0.25,23,,,
Anglica,99,65,51,33,1.52,0.52,0.15,20,,,
Anglica,85,62,59,37,1.37,0.69,0.14,18,,,
Anglica,127,103,66,39,1.23,0.52,0.17,25,,,
Anglica,121,86,65,37,1.41,0.54,0.23,22,,,
Anglica,115,92,57,36,1.25,0.50,0.17,19,,,
Anglica,128,89,60,37,1.44,0.47,0.22,22,,,
Anglica,103,82,41,42,1.26,0.40,0.13,23,,,
Anglica,105,76,46,35,1.38,0.44,0.18,24,,,
Anglica,86,62,27,40,1.39,0.31,0.18,19,,,
Anglica,84,65,30,35,1.29,0.36,0.19,18,,,
Anglica,119,84,64,34,1.42,0.54,0.20,24,,,
Anglica,110,80,59,33,1.38,0.54,0.13,21,,,
Anglica,91,70,49,33,1.30,0.54,0.17,18,,,
Anglica,95,64,50,28,1.48,0.53,0.28,22,,,
Anglica,92,70,46,36,1.31,0.50,0.18,20,,,
Anglica,87,65,50,37,1.34,0.57,0.24,20,,,
Anglica,87,69,55,33,1.26,0.63,0.21,20,,,
Anglica,96,63,52,33,1.52,0.54,0.22,22,,,
Anglica,103,80,58,35,1.29,0.56,0.18,22,,,
Anglica,90,59,46,31,1.53,0.51,0.23,17,,,
Anglica,99,68,54,30,1.46,0.55,0.25,25,,,
Anglica,91,65,42,37,1.40,0.46,0.21,21,,,
Anglica,95,53,62,33,1.79,0.65,0.26,22,,,
Anglica,89,52,41,28,1.71,0.46,0.19,21,,,
Anglica,120,71,67,33,1.69,0.56,0.25,21,,,
Anglica,102,64,54,32,1.59,0.53,0.19,20,,,
Anglica,88,66,44,36,1.33,0.50,0.19,18,,,
Anglica,86,58,50,31,1.48,0.58,0.18,18,,,
Anglica,,,,,,,,,12,12,1.00
Anglica,,,,,,,,,12.5,14,0.89
Anglica,,,,,,,,,11,13,0.85
Anglica,,,,,,,,,12.5,14,0.89
Anglica,,,,,,,,,12,13,0.92
Anglica,,,,,,,,,12,13,0.92
Anglica,,,,,,,,,12,13,0.92
Anglica,,,,,,,,,12,13,0.92
Anglica,,,,,,,,,13,13,1.00
Anglica,,,,,,,,,13,13,1.00
Anglica,,,,,,,,,10.5,11,0.95
Anglica,,,,,,,,,10.5,12,0.88
Anglica,,,,,,,,,10,11.5,0.87
Anglica,,,,,,,,,10,11.5,0.87
Anglica,,,,,,,,,10,11,0.91
Anglica,,,,,,,,,10,11,0.91
Anglica,,,,,,,,,10,11,0.91
Anglica,,,,,,,,,12,12,1.00
Anglica,,,,,,,,,11,12,0.92
Anglica,,,,,,,,,11,11,1.00
Anglica,,,,,,,,,11,13,0.85
Anglica,,,,,,,,,11,14,0.79
Anglica,,,,,,,,,10,14,0.71
Anglica,,,,,,,,,12,15,0.80
Anglica,,,,,,,,,11,13.5,0.81
Anglica,,,,,,,,,12,13,0.92
Anglica,,,,,,,,,11.5,13,0.88
Anglica,,,,,,,,,12,14,0.86
Anglica,,,,,,,,,11,13,0.85
Anglica,,,,,,,,,10,10,1.00
Anglica,,,,,,,,,9,10,0.90
Anglica,,,,,,,,,9,10,0.90
Anglica,,,,,,,,,11,9,1.22
Anglica,,,,,,,,,10.5,11,0.95
Anglica,,,,,,,,,10,10,1.00
Anglica,,,,,,,,,10,10,1.00
Anglica,,,,,,,,,10,10,1.00
Anglica,,,,,,,,,11.5,14,0.82
Anglica,,,,,,,,,10.5,12,0.88
Anglica,,,,,,,,,11,13,0.85
Anglica,,,,,,,,,11,12,0.92
Anglica,,,,,,,,,10,12,0.83
Anglica,,,,,,,,,11,11,1.00
Anglica,,,,,,,,,9.5,11.5,0.83
Anglica,,,,,,,,,10,12,0.83
Anglica,,,,,,,,,11,12,0.92
Anglica,,,,,,,,,12,13.5,0.89
Anglica,,,,,,,,,12,12,1.00
Anglica,,,,,,,,,12,13,0.92
Anglica,,,,,,,,,11,11,1.00
Anglica,,,,,,,,,11,11,1.00
Anglica,,,,,,,,,10,12,0.83
Anglica,,,,,,,,,11,11.5,0.96
Anglica,,,,,,,,,12,11,1.09
Anglica,,,,,,,,,12,11,1.09
Anglica,,,,,,,,,10.5,13,0.81
Anglica,,,,,,,,,10,11,0.91
Anglica,,,,,,,,,10,10,1.00
Anglica,,,,,,,,,12,11,1.09
Anglica,,,,,,,,,10,10,1.00
Anglica,,,,,,,,,10,11.5,0.87
Anglica,,,,,,,,,10,11,0.91
Anglica,,,,,,,,,10,12,0.83
Anglica,,,,,,,,,9,11,0.82
Anglica,,,,,,,,,10,12,0.83
Anglica,,,,,,,,,9,11.5,0.78
Anglica,,,,,,,,,9,11,0.82
Anglica,,,,,,,,,10,11,0.91
Anglica,,,,,,,,,9.5,11,0.86
Anglica,,,,,,,,,9,12,0.75
Anglica,,,,,,,,,10,10.5,0.95
Cuneifolia,,,,,,,,,11,11,1.00
Cuneifolia,,,,,,,,,11,9.5,1.16
Cuneifolia,,,,,,,,,10,9,1.11
Cuneifolia,,,,,,,,,10.5,10.5,1.00
Cuneifolia,,,,,,,,,11,10,1.10
Cuneifolia,,,,,,,,,11,9,1.22
Cuneifolia,,,,,,,,,10,9,1.11
Cuneifolia,,,,,,,,,12,10.5,1.14
Cuneifolia,,,,,,,,,11,9,1.22
Cuneifolia,,,,,,,,,10,10,1.00
Cuneifolia,,,,,,,,,10,10,1.00
Cuneifolia,,,,,,,,,10,10,1.00
Cuneifolia,,,,,,,,,8,8,1.00
Cuneifolia,,,,,,,,,10,10,1.00
Cuneifolia,,,,,,,,,9.5,9,1.06
Cuneifolia,,,,,,,,,9,10,0.90
Cuneifolia,,,,,,,,,9.5,9,1.06
Cuneifolia,,,,,,,,,11,11,1.00
Cuneifolia,,,,,,,,,11.5,10.5,1.10
Cuneifolia,,,,,,,,,10,9.5,1.05
Cuneifolia,,,,,,,,,10,9.5,1.05
Cuneifolia,,,,,,,,,9.5,9.5,1.00
Cuneifolia,,,,,,,,,10,9.5,1.05
Cuneifolia,,,,,,,,,11,10,1.10
Cuneifolia,,,,,,,,,11,9.5,1.16
Cuneifolia,,,,,,,,,12,11,1.09
Cuneifolia,,,,,,,,,11,12,0.92
Cuneifolia,,,,,,,,,10,9,1.11
Cuneifolia,,,,,,,,,10,10,1.00
Cuneifolia,,,,,,,,,9,9,1.00
Cuneifolia,,,,,,,,,10,10,1.00
Cuneifolia,,,,,,,,,11,11,1.00
Cuneifolia,,,,,,,,,11,10,1.10
Cuneifolia,,,,,,,,,8.5,9,0.94
Cuneifolia,,,,,,,,,10,10,1.00
Cuneifolia,,,,,,,,,10,9.5,1.05
Cuneifolia,,,,,,,,,9.5,10,0.95
Cuneifolia,,,,,,,,,10,10,1.00
Cuneifolia,,,,,,,,,11,10,1.10
Cuneifolia,,,,,,,,,9,9,1.00
Cuneifolia,,,,,,,,,9,8.5,1.06
Cuneifolia,,,,,,,,,9.5,9.5,1.00
Cuneifolia,,,,,,,,,9.5,9,1.06
Cuneifolia,,,,,,,,,10,9.5,1.05
Cuneifolia,,,,,,,,,10,11,0.91
Cuneifolia,,,,,,,,,9.5,9,1.06
Cuneifolia,,,,,,,,,10,10,1.00
Cuneifolia,,,,,,,,,10,9.5,1.05
Cuneifolia,,,,,,,,,10,9.5,1.05
Cuneifolia,,,,,,,,,9.5,9,1.06
Cuneifolia,83,57,48,32,1.46,0.58,0.21,17,,,
Cuneifolia,75,51,46,28,1.47,0.61,0.36,15,,,
Cuneifolia,96,66,57,39,1.45,0.59,0.27,18,,,
Cuneifolia,93,59,55,30,1.58,0.59,0.24,18,,,
Cuneifolia,82,53,50,33,1.55,0.61,0.32,16,,,
Cuneifolia,89,60,44,33,1.48,0.49,0.17,19,,,
Cuneifolia,83,49,55,32,1.69,0.66,0.20,16,,,
Cuneifolia,101,55,54,31,1.84,0.53,0.19,22,,,
Cuneifolia,90,58,54,31,1.55,0.60,0.19,17,,,
Cuneifolia,104,75,52,31,1.39,0.50,0.18,20,,,
Cuneifolia,103,53,55,35,1.94,0.53,0.25,23,,,
Cuneifolia,105,75,53,36,1.40,0.50,0.21,19,,,
Cuneifolia,95,62,42,34,1.53,0.44,0.23,20,,,
Cuneifolia,113,57,58,33,1.98,0.51,0.14,20,,,
Cuneifolia,95,52,46,28,1.83,0.48,0.15,19,,,
Cuneifolia,120,74,57,33,1.62,0.48,0.21,22,,,
Cuneifolia,104,65,66,32,1.60,0.63,0.18,20,,,
Cuneifolia,97,61,41,33,1.59,0.42,0.27,19,,,
Cuneifolia,99,51,51,27,1.94,0.52,0.19,21,,,
Cuneifolia,,,,,,,,,10.5,10,1.05
Cuneifolia,,,,,,,,,9.5,10,0.95
Cuneifolia,,,,,,,,,11.5,11,1.05
Cuneifolia,,,,,,,,,12,11,1.09
Cuneifolia,,,,,,,,,11,11,1.00
Cuneifolia,,,,,,,,,11,11,1.00
Cuneifolia,,,,,,,,,9,10,0.90
Cuneifolia,,,,,,,,,10,11,0.91
Cuneifolia,,,,,,,,,11,10,1.10
Cuneifolia,,,,,,,,,9,9,1.00
